event,gesture,timestamp
gesture_detected,NEUTRAL,1776670193.5515404
gesture_detected,NEUTRAL,1776670193.6175604
gesture_detected,NEUTRAL,1776670193.6831577
gesture_detected,NEUTRAL,1776670193.751827
gesture_detected,NEUTRAL,1776670193.8162005
gesture_detected,NEUTRAL,1776670193.884029
gesture_detected,NEUTRAL,1776670193.9477575
gesture_detected,NEUTRAL,1776670194.0120494
gesture_detected,NEUTRAL,1776670194.0804977
gesture_detected,NEUTRAL,1776670194.1475673
gesture_detected,NEUTRAL,1776670194.2144835
gesture_detected,NEUTRAL,1776670194.281611
gesture_detected,NEUTRAL,1776670194.3539634
gesture_detected,NEUTRAL,1776670194.4187567
gesture_detected,NEUTRAL,1776670194.485249
gesture_detected,NEUTRAL,1776670194.5514214
gesture_detected,NEUTRAL,1776670194.6151135
gesture_detected,NEUTRAL,1776670194.6792004
gesture_detected,NEUTRAL,1776670194.747481
gesture_detected,NEUTRAL,1776670194.8142219
gesture_detected,NEUTRAL,1776670194.8783784
gesture_detected,NEUTRAL,1776670194.9464405
gesture_detected,NEUTRAL,1776670195.0131845
gesture_detected,NEUTRAL,1776670195.0804749
gesture_detected,NEUTRAL,1776670195.1470213
gesture_detected,NEUTRAL,1776670195.2139473
gesture_detected,NEUTRAL,1776670195.2800148
gesture_detected,NEUTRAL,1776670195.3492775
gesture_detected,NEUTRAL,1776670195.4137146
gesture_detected,NEUTRAL,1776670195.4761732
gesture_detected,NEUTRAL,1776670195.5388296
gesture_detected,NEUTRAL,1776670195.6063678
gesture_detected,NEUTRAL,1776670195.6701543
gesture_detected,NEUTRAL,1776670195.7332258
gesture_detected,NEUTRAL,1776670195.7972004
gesture_detected,NEUTRAL,1776670195.8587787
gesture_detected,NEUTRAL,1776670195.9220262
gesture_detected,NEUTRAL,1776670195.9852726
gesture_detected,NEUTRAL,1776670196.0490415
gesture_detected,NEUTRAL,1776670196.115352
gesture_detected,NEUTRAL,1776670196.1841292
gesture_detected,NEUTRAL,1776670196.251103
gesture_detected,NEUTRAL,1776670196.3203282
gesture_detected,NEUTRAL,1776670196.386447
gesture_detected,NEUTRAL,1776670196.4521182
gesture_detected,NEUTRAL,1776670196.5222104
gesture_detected,NEUTRAL,1776670196.588465
gesture_detected,NEUTRAL,1776670196.6576538
gesture_detected,NEUTRAL,1776670197.0403516
gesture_detected,NEUTRAL,1776670197.106501
gesture_detected,NEUTRAL,1776670197.1744387
gesture_detected,NEUTRAL,1776670197.2390459
gesture_detected,NEUTRAL,1776670197.300793
gesture_detected,NEUTRAL,1776670197.3622906
gesture_detected,NEUTRAL,1776670197.4254806
gesture_detected,NEUTRAL,1776670197.4882507
gesture_detected,NEUTRAL,1776670197.5512848
gesture_detected,NEUTRAL,1776670197.6143873
gesture_detected,NEUTRAL,1776670197.6797004
gesture_detected,NEUTRAL,1776670197.7431295
gesture_detected,NEUTRAL,1776670197.806178
gesture_detected,NEUTRAL,1776670197.870353
gesture_detected,NEUTRAL,1776670197.93415
gesture_detected,NEUTRAL,1776670197.9977167
gesture_detected,NEUTRAL,1776670198.0611398
gesture_detected,NEUTRAL,1776670198.125077
gesture_detected,NEUTRAL,1776670198.247732
gesture_detected,NEUTRAL,1776670208.0903606
gesture_detected,NEUTRAL,1776670208.1689692
gesture_detected,NEUTRAL,1776670208.1728358
gesture_detected,NEUTRAL,1776670208.2158961
gesture_detected,NEUTRAL,1776670208.278381
gesture_detected,NEUTRAL,1776670208.3415034
gesture_detected,NEUTRAL,1776670208.404847
gesture_detected,NEUTRAL,1776670208.4669974
gesture_detected,NEUTRAL,1776670208.5319443
gesture_detected,NEUTRAL,1776670208.5937147
gesture_detected,NEUTRAL,1776670210.4814017
gesture_detected,NEUTRAL,1776670210.543753
gesture_detected,NEUTRAL,1776670213.074041
gesture_detected,NEUTRAL,1776670213.1393342
gesture_detected,NEUTRAL,1776670213.203348
gesture_detected,NEUTRAL,1776670213.2643104
gesture_detected,NEUTRAL,1776670213.3326972
gesture_detected,NEUTRAL,1776670213.3978953
gesture_detected,NEUTRAL,1776670213.4636
gesture_detected,NEUTRAL,1776670213.5287995
gesture_detected,NEUTRAL,1776670213.5939717
gesture_detected,NEUTRAL,1776670213.656945
gesture_detected,NEUTRAL,1776670213.719326
gesture_detected,NEUTRAL,1776670213.7825372
gesture_detected,NEUTRAL,1776670213.8454015
gesture_detected,NEUTRAL,1776670213.9078681
gesture_detected,NEUTRAL,1776670213.9714196
gesture_detected,NEUTRAL,1776670214.0333405
gesture_detected,NEUTRAL,1776670214.0972233
gesture_detected,NEUTRAL,1776670214.160647
gesture_detected,NEUTRAL,1776670214.2228162
gesture_detected,NEUTRAL,1776670214.2873101
gesture_detected,NEUTRAL,1776670214.352177
gesture_detected,NEUTRAL,1776670214.4155803
gesture_detected,NEUTRAL,1776670214.4794042
gesture_detected,NEUTRAL,1776670214.5432825
gesture_detected,NEUTRAL,1776670214.6073284
gesture_detected,NEUTRAL,1776670214.6754737
gesture_detected,NEUTRAL,1776670214.7387998
gesture_detected,NEUTRAL,1776670214.8024404
gesture_detected,NEUTRAL,1776670214.8687963
gesture_detected,NEUTRAL,1776670214.9351337
gesture_detected,NEUTRAL,1776670214.9995496
gesture_detected,NEUTRAL,1776670215.062296
gesture_detected,NEUTRAL,1776670215.1269348
gesture_detected,NEUTRAL,1776670215.1900823
gesture_detected,NEUTRAL,1776670215.2580116
gesture_detected,NEUTRAL,1776670215.3214846
gesture_detected,NEUTRAL,1776670215.3848546
gesture_detected,NEUTRAL,1776670215.4487233
gesture_detected,NEUTRAL,1776670215.5110092
gesture_detected,NEUTRAL,1776670215.573757
gesture_detected,NEUTRAL,1776670215.6354606
gesture_detected,NEUTRAL,1776670215.7004817
gesture_detected,NEUTRAL,1776670215.7656507
gesture_detected,NEUTRAL,1776670215.829657
gesture_detected,NEUTRAL,1776670215.8957567
gesture_detected,NEUTRAL,1776670215.9600291
gesture_detected,NEUTRAL,1776670216.0230503
gesture_detected,NEUTRAL,1776670216.0860388
gesture_detected,NEUTRAL,1776670216.1502929
gesture_detected,NEUTRAL,1776670216.21338
gesture_detected,NEUTRAL,1776670216.275669
gesture_detected,NEUTRAL,1776670216.341524
gesture_detected,NEUTRAL,1776670216.4062493
gesture_detected,NEUTRAL,1776670216.468398
gesture_detected,NEUTRAL,1776670216.5318134
gesture_detected,NEUTRAL,1776670216.5991194
gesture_detected,NEUTRAL,1776670216.665424
gesture_detected,NEUTRAL,1776670216.7308035
gesture_detected,NEUTRAL,1776670216.7955797
gesture_detected,NEUTRAL,1776670216.8596046
gesture_detected,NEUTRAL,1776670216.9236126
gesture_detected,NEUTRAL,1776670216.9871442
gesture_detected,NEUTRAL,1776670217.0546308
gesture_detected,NEUTRAL,1776670217.1182597
gesture_detected,NEUTRAL,1776670217.1818628
gesture_detected,NEUTRAL,1776670217.2450619
gesture_detected,NEUTRAL,1776670217.309429
gesture_detected,NEUTRAL,1776670217.373863
gesture_detected,NEUTRAL,1776670217.4397106
gesture_detected,NEUTRAL,1776670217.5048215
gesture_detected,NEUTRAL,1776670217.569153
gesture_detected,NEUTRAL,1776670217.632631
gesture_detected,NEUTRAL,1776670217.6950653
gesture_detected,NEUTRAL,1776670217.760283
gesture_detected,NEUTRAL,1776670217.8244202
gesture_detected,NEUTRAL,1776670217.8881483
gesture_detected,NEUTRAL,1776670217.9532638
gesture_detected,NEUTRAL,1776670218.0172846
gesture_detected,NEUTRAL,1776670218.082102
gesture_detected,NEUTRAL,1776670218.144865
gesture_detected,NEUTRAL,1776670218.2099633
gesture_detected,NEUTRAL,1776670218.2731087
gesture_detected,NEUTRAL,1776670218.3366494
gesture_detected,NEUTRAL,1776670218.4016182
gesture_detected,NEUTRAL,1776670218.4645548
gesture_detected,NEUTRAL,1776670218.52881
gesture_detected,NEUTRAL,1776670218.5932138
gesture_detected,NEUTRAL,1776670218.6572027
gesture_detected,NEUTRAL,1776670218.720293
gesture_detected,NEUTRAL,1776670218.7830198
gesture_detected,NEUTRAL,1776670218.845347
gesture_detected,NEUTRAL,1776670218.9085615
gesture_detected,NEUTRAL,1776670218.9717104
gesture_detected,NEUTRAL,1776670219.035415
gesture_detected,NEUTRAL,1776670219.0977566
gesture_detected,NEUTRAL,1776670219.1598065
gesture_detected,NEUTRAL,1776670219.2230968
gesture_detected,NEUTRAL,1776670219.286502
gesture_detected,NEUTRAL,1776670219.3502507
gesture_detected,NEUTRAL,1776670219.414531
gesture_detected,NEUTRAL,1776670219.4783614
gesture_detected,NEUTRAL,1776670219.541844
gesture_detected,NEUTRAL,1776670219.604216
gesture_detected,NEUTRAL,1776670219.6689796
gesture_detected,NEUTRAL,1776670219.7324727
gesture_detected,NEUTRAL,1776670219.7964833
gesture_detected,NEUTRAL,1776670219.8594253
gesture_detected,NEUTRAL,1776670219.923743
gesture_detected,NEUTRAL,1776670219.9864693
gesture_detected,NEUTRAL,1776670220.04949
gesture_detected,NEUTRAL,1776670220.1137524
gesture_detected,NEUTRAL,1776670220.178039
gesture_detected,NEUTRAL,1776670220.2411265
gesture_detected,NEUTRAL,1776670220.307093
gesture_detected,NEUTRAL,1776670220.3712928
gesture_detected,NEUTRAL,1776670220.43529
gesture_detected,NEUTRAL,1776670220.499128
gesture_detected,NEUTRAL,1776670220.5645316
gesture_detected,NEUTRAL,1776670220.6272664
gesture_detected,NEUTRAL,1776670220.694288
gesture_detected,NEUTRAL,1776670220.7603853
gesture_detected,NEUTRAL,1776670220.8258667
gesture_detected,NEUTRAL,1776670220.8887324
gesture_detected,NEUTRAL,1776670220.952576
gesture_detected,NEUTRAL,1776670221.0151021
gesture_detected,NEUTRAL,1776670221.078182
gesture_detected,NEUTRAL,1776670221.1422894
gesture_detected,NEUTRAL,1776670221.2068508
gesture_detected,NEUTRAL,1776670221.269823
gesture_detected,NEUTRAL,1776670221.3323963
gesture_detected,NEUTRAL,1776670221.3961744
gesture_detected,NEUTRAL,1776670221.461179
gesture_detected,NEUTRAL,1776670221.52306
gesture_detected,NEUTRAL,1776670221.585507
gesture_detected,NEUTRAL,1776670221.650165
gesture_detected,NEUTRAL,1776670221.7144532
gesture_detected,NEUTRAL,1776670221.7778053
gesture_detected,NEUTRAL,1776670221.839605
gesture_detected,NEUTRAL,1776670221.903432
gesture_detected,NEUTRAL,1776670221.967002
gesture_detected,NEUTRAL,1776670222.0316746
gesture_detected,NEUTRAL,1776670222.0955124
gesture_detected,NEUTRAL,1776670222.159813
gesture_detected,NEUTRAL,1776670222.2228441
gesture_detected,NEUTRAL,1776670222.2861032
gesture_detected,NEUTRAL,1776670222.349744
gesture_detected,NEUTRAL,1776670222.414415
gesture_detected,NEUTRAL,1776670222.4775949
gesture_detected,NEUTRAL,1776670222.5406754
gesture_detected,NEUTRAL,1776670222.604959
gesture_detected,NEUTRAL,1776670222.6701589
gesture_detected,NEUTRAL,1776670222.7345183
gesture_detected,NEUTRAL,1776670222.797793
gesture_detected,NEUTRAL,1776670222.8610988
gesture_detected,NEUTRAL,1776670222.92658
gesture_detected,NEUTRAL,1776670222.992478
gesture_detected,NEUTRAL,1776670223.0574353
gesture_detected,NEUTRAL,1776670223.1222892
gesture_detected,NEUTRAL,1776670223.1860068
gesture_detected,NEUTRAL,1776670223.251729
gesture_detected,NEUTRAL,1776670223.3167348
gesture_detected,NEUTRAL,1776670223.379762
gesture_detected,NEUTRAL,1776670223.4438787
gesture_detected,NEUTRAL,1776670223.5089545
gesture_detected,NEUTRAL,1776670223.5736146
gesture_detected,NEUTRAL,1776670223.6368437
gesture_detected,NEUTRAL,1776670223.7026227
gesture_detected,NEUTRAL,1776670223.7644088
gesture_detected,NEUTRAL,1776670223.82829
gesture_detected,NEUTRAL,1776670223.891755
gesture_detected,NEUTRAL,1776670223.9557757
gesture_detected,NEUTRAL,1776670224.018981
gesture_detected,NEUTRAL,1776670224.081774
gesture_detected,NEUTRAL,1776670224.1456676
gesture_detected,NEUTRAL,1776670224.2099996
gesture_detected,NEUTRAL,1776670224.278834
gesture_detected,NEUTRAL,1776670224.3421974
gesture_detected,NEUTRAL,1776670224.4044337
gesture_detected,NEUTRAL,1776670224.4688728
gesture_detected,NEUTRAL,1776670224.5318923
gesture_detected,NEUTRAL,1776670224.594842
gesture_detected,NEUTRAL,1776670224.6582952
gesture_detected,NEUTRAL,1776670224.7235703
gesture_detected,NEUTRAL,1776670224.7860482
gesture_detected,NEUTRAL,1776670224.851558
gesture_detected,NEUTRAL,1776670224.9144258
gesture_detected,NEUTRAL,1776670224.9774704
gesture_detected,NEUTRAL,1776670225.0413637
gesture_detected,NEUTRAL,1776670225.104355
gesture_detected,NEUTRAL,1776670225.1673863
gesture_detected,NEUTRAL,1776670225.2323525
gesture_detected,NEUTRAL,1776670225.2959304
gesture_detected,NEUTRAL,1776670225.3619819
gesture_detected,NEUTRAL,1776670225.4262836
gesture_detected,NEUTRAL,1776670225.4929898
gesture_detected,NEUTRAL,1776670225.5644295
gesture_detected,NEUTRAL,1776670225.6346407
gesture_detected,NEUTRAL,1776670225.7054574
gesture_detected,NEUTRAL,1776670225.7723591
gesture_detected,NEUTRAL,1776670225.839245
gesture_detected,NEUTRAL,1776670225.9073777
gesture_detected,NEUTRAL,1776670225.9739516
gesture_detected,NEUTRAL,1776670226.0424733
gesture_detected,NEUTRAL,1776670226.1122715
gesture_detected,NEUTRAL,1776670226.1826408
gesture_detected,NEUTRAL,1776670226.2513926
gesture_detected,NEUTRAL,1776670226.319617
gesture_detected,NEUTRAL,1776670226.386882
gesture_detected,NEUTRAL,1776670226.4528484
gesture_detected,NEUTRAL,1776670226.5169678
gesture_detected,NEUTRAL,1776670226.589719
gesture_detected,NEUTRAL,1776670226.6570506
gesture_detected,NEUTRAL,1776670226.7290614
gesture_detected,NEUTRAL,1776670226.7935026
gesture_detected,NEUTRAL,1776670226.8612707
gesture_detected,NEUTRAL,1776670226.9326277
gesture_detected,NEUTRAL,1776670227.0036626
gesture_detected,NEUTRAL,1776670227.0736344
gesture_detected,NEUTRAL,1776670227.1391616
gesture_detected,NEUTRAL,1776670227.20727
gesture_detected,NEUTRAL,1776670227.274637
gesture_detected,NEUTRAL,1776670227.3437655
gesture_detected,NEUTRAL,1776670227.411838
gesture_detected,NEUTRAL,1776670227.4784894
gesture_detected,NEUTRAL,1776670227.5417945
gesture_detected,NEUTRAL,1776670227.6099026
gesture_detected,NEUTRAL,1776670227.6732721
gesture_detected,NEUTRAL,1776670227.7363756
gesture_detected,NEUTRAL,1776670227.798018
gesture_detected,NEUTRAL,1776670227.8611276
gesture_detected,NEUTRAL,1776670227.9246788
gesture_detected,NEUTRAL,1776670227.9902673
gesture_detected,NEUTRAL,1776670228.05279
gesture_detected,NEUTRAL,1776670228.1167789
gesture_detected,NEUTRAL,1776670228.1785634
gesture_detected,NEUTRAL,1776670228.2429683
gesture_detected,NEUTRAL,1776670228.3053641
gesture_detected,NEUTRAL,1776670228.3697667
gesture_detected,NEUTRAL,1776670228.4345171
gesture_detected,NEUTRAL,1776670228.499337
gesture_detected,NEUTRAL,1776670228.5669916
gesture_detected,NEUTRAL,1776670228.6343625
gesture_detected,NEUTRAL,1776670228.700281
gesture_detected,NEUTRAL,1776670228.7661872
gesture_detected,NEUTRAL,1776670228.832436
gesture_detected,NEUTRAL,1776670253.3783898
gesture_detected,NEUTRAL,1776670253.4407127
gesture_detected,NEUTRAL,1776670253.5026474
gesture_detected,NEUTRAL,1776670253.5649717
gesture_detected,NEUTRAL,1776670253.62994
gesture_detected,NEUTRAL,1776670253.6943827
gesture_detected,NEUTRAL,1776670253.7587209
gesture_detected,NEUTRAL,1776670253.8234777
gesture_detected,NEUTRAL,1776670253.88711
gesture_detected,NEUTRAL,1776670253.951551
gesture_detected,NEUTRAL,1776670254.018509
gesture_detected,NEUTRAL,1776670254.083658
gesture_detected,NEUTRAL,1776670254.1499596
gesture_detected,NEUTRAL,1776670254.214647
gesture_detected,NEUTRAL,1776670254.2809227
gesture_detected,NEUTRAL,1776670254.3468304
gesture_detected,NEUTRAL,1776670254.410427
gesture_detected,NEUTRAL,1776670254.4762342
gesture_detected,NEUTRAL,1776670254.5416036
gesture_detected,NEUTRAL,1776670254.6084635
gesture_detected,NEUTRAL,1776670254.6745622
gesture_detected,NEUTRAL,1776670254.7424812
gesture_detected,NEUTRAL,1776670254.8054843
gesture_detected,NEUTRAL,1776670254.870895
gesture_detected,NEUTRAL,1776670254.9346502
gesture_detected,NEUTRAL,1776670254.9962523
gesture_detected,NEUTRAL,1776670255.058283
gesture_detected,NEUTRAL,1776670255.121837
gesture_detected,NEUTRAL,1776670255.1865664
gesture_detected,NEUTRAL,1776670255.2512808
gesture_detected,NEUTRAL,1776670255.3152914
gesture_detected,NEUTRAL,1776670255.381135
gesture_detected,NEUTRAL,1776670255.4438727
gesture_detected,NEUTRAL,1776670255.509739
gesture_detected,NEUTRAL,1776670255.5747948
gesture_detected,NEUTRAL,1776670255.639012
gesture_detected,NEUTRAL,1776670255.7030144
gesture_detected,NEUTRAL,1776670255.7720957
gesture_detected,NEUTRAL,1776670255.8353908
gesture_detected,NEUTRAL,1776670255.8999326
gesture_detected,NEUTRAL,1776670255.9634295
gesture_detected,NEUTRAL,1776670256.025959
gesture_detected,NEUTRAL,1776670256.0890853
gesture_detected,NEUTRAL,1776670256.1519487
gesture_detected,NEUTRAL,1776670256.2158957
gesture_detected,NEUTRAL,1776670256.278496
gesture_detected,NEUTRAL,1776670256.3411834
gesture_detected,NEUTRAL,1776670256.4046328
gesture_detected,NEUTRAL,1776670256.469842
gesture_detected,NEUTRAL,1776670256.5343423
gesture_detected,NEUTRAL,1776670256.5988414
gesture_detected,NEUTRAL,1776670256.6635635
gesture_detected,NEUTRAL,1776670256.7269757
gesture_detected,NEUTRAL,1776670256.7916992
gesture_detected,NEUTRAL,1776670256.8544438
gesture_detected,NEUTRAL,1776670256.9188464
gesture_detected,NEUTRAL,1776670256.981836
gesture_detected,NEUTRAL,1776670257.0437386
gesture_detected,NEUTRAL,1776670257.1072938
gesture_detected,NEUTRAL,1776670257.1708195
gesture_detected,NEUTRAL,1776670257.2350602
gesture_detected,NEUTRAL,1776670257.298107
gesture_detected,NEUTRAL,1776670257.365372
gesture_detected,NEUTRAL,1776670257.4285367
gesture_detected,NEUTRAL,1776670257.4910326
gesture_detected,NEUTRAL,1776670257.5556862
gesture_detected,NEUTRAL,1776670257.6179154
gesture_detected,NEUTRAL,1776670257.6813688
gesture_detected,NEUTRAL,1776670257.744927
gesture_detected,NEUTRAL,1776670257.8080602
gesture_detected,NEUTRAL,1776670257.8725562
gesture_detected,NEUTRAL,1776670257.937353
gesture_detected,NEUTRAL,1776670258.000129
gesture_detected,NEUTRAL,1776670258.0632203
gesture_detected,NEUTRAL,1776670258.1261628
gesture_detected,NEUTRAL,1776670258.18999
gesture_detected,NEUTRAL,1776670258.2572954
gesture_detected,NEUTRAL,1776670258.3231578
gesture_detected,NEUTRAL,1776670258.3871365
gesture_detected,NEUTRAL,1776670258.4534166
gesture_detected,NEUTRAL,1776670258.518234
gesture_detected,NEUTRAL,1776670258.5809162
gesture_detected,NEUTRAL,1776670258.6425872
gesture_detected,NEUTRAL,1776670258.7065504
gesture_detected,NEUTRAL,1776670258.7691627
gesture_detected,NEUTRAL,1776670258.8338895
gesture_detected,NEUTRAL,1776670258.898048
gesture_detected,NEUTRAL,1776670258.9653115
gesture_detected,NEUTRAL,1776670259.0284708
gesture_detected,NEUTRAL,1776670259.093132
